"","LocationAbbr","LocationDesc","GeoLocation","diff","pchange","range6through10","range11through15","Region"
"1","AK","Alaska","(64.84507995700051, -147.72205903599973)",-0.399999999999999,-4.34782608695651,9.2,8.8,"West"
"2","AL","Alabama","(32.84057112200048, -86.63186076199969)",-0.2,-14.2857142857143,1.4,1.2,"South"
"3","AR","Arkansas","(34.74865012400045, -92.27449074299966)",0,0,1.9,1.9,"South"
"4","AZ","Arizona","(34.865970280000454, -111.76381127699972)",0,0,3,3,"West"
"5","CA","California","(37.63864012300047, -120.99999953799971)",0.0999999999999996,2.70270270270269,3.7,3.8,"West"
"6","CO","Colorado","(38.843840757000464, -106.13361092099967)",0.0999999999999996,2.38095238095237,4.2,4.3,"West"
"7","CT","Connecticut","(41.56266102000046, -72.64984095199964)",0.1,3.03030303030303,3.3,3.4,"Northeast"
"8","DC","District of Columbia","(38.89037138500049, -77.03196112699965)",2.8,19.8581560283688,14.1,16.9,"South"
"9","DE","Delaware","(39.008830667000495, -75.57774116799965)",-0.4,-13.7931034482759,2.9,2.5,"South"
"10","FL","Florida","(28.932040377000476, -81.92896053899966)",0,0,2.2,2.2,"South"
"11","GA","Georgia","(32.83968109300048, -83.62758034599966)",0,0,1.8,1.8,"South"
"12","HI","Hawaii","(21.304850435000446, -157.85774940299973)",0.0999999999999996,1.81818181818181,5.5,5.6,"West"
"13","IA","Iowa","(42.46940091300047, -93.81649055599968)",-0.2,-4.65116279069768,4.3,4.1,"Midwest"
"14","ID","Idaho","(43.682630005000476, -114.3637300419997)",-0.4,-9.0909090909091,4.4,4,"West"
"15","IL","Illinois","(40.48501028300046, -88.99771017799969)",0.1,2.77777777777778,3.6,3.7,"Midwest"
"16","IN","Indiana","(39.766910452000445, -86.14996019399968)",0,0,2.6,2.6,"Midwest"
"17","KS","Kansas","(38.34774030000045, -98.20078122699965)",-0.3,-9.99999999999999,3,2.7,"Midwest"
"18","KY","Kentucky","(37.645970271000465, -84.77497104799966)",0.2,8.33333333333334,2.4,2.6,"South"
"19","LA","Louisiana","(31.31266064400046, -92.44568007099969)",0.1,4.34782608695653,2.3,2.4,"South"
"20","MA","Massachusetts","(42.27687047000046, -72.08269067499964)",0.3,5.66037735849056,5.3,5.6,"Northeast"
"21","MD","Maryland","(39.29058096400047, -76.60926011099963)",-0.0999999999999996,-3.57142857142856,2.8,2.7,"South"
"22","ME","Maine","(45.254228894000505, -68.98503133599962)",-0.0999999999999996,-2.22222222222221,4.5,4.4,"Northeast"
"23","MI","Michigan","(44.6613195430005, -84.71439026999968)",0,0,2.7,2.7,"Midwest"
"24","MN","Minnesota","(46.35564873600049, -94.79420050299967)",-0.1,-2.7027027027027,3.7,3.6,"Midwest"
"25","MO","Missouri","(38.635790776000476, -92.56630005299968)",-0.0999999999999996,-4.34782608695651,2.3,2.2,"Midwest"
"26","MS","Mississippi","(32.745510099000455, -89.53803082499968)",-0.2,-10.5263157894737,1.9,1.7,"South"
"27","MT","Montana","(47.06652897200047, -109.42442064499971)",-0.100000000000001,-1.56250000000001,6.4,6.3,"West"
"28","NC","North Carolina","(35.466220975000454, -79.15925046299964)",0,0,2,2,"South"
"29","ND","North Dakota","(47.47531977900047, -100.11842104899966)",-0.2,-4.44444444444445,4.5,4.3,"Midwest"
"30","NE","Nebraska","(41.6410409880005, -99.36572062299967)",-0.4,-10.8108108108108,3.7,3.3,"Midwest"
"31","NH","New Hampshire","(43.65595011300047, -71.50036091999965)",-0.4,-11.4285714285714,3.5,3.1,"Northeast"
"32","NJ","New Jersey","(40.13057004800049, -74.27369128799967)",-0.2,-5.55555555555556,3.6,3.4,"Northeast"
"33","NM","New Mexico","(34.52088095200048, -106.24058098499967)",0,0,3,3,"West"
"34","NV","Nevada","(39.493240390000494, -117.07184056399967)",0,0,2.6,2.6,"West"
"35","NY","New York","(42.82700103200045, -75.54397042699964)",0.2,2.94117647058824,6.8,7,"Northeast"
"36","OH","Ohio","(40.06021014100048, -82.40426005599966)",0,0,2.6,2.6,"Midwest"
"37","OK","Oklahoma","(35.47203135600046, -97.52107021399968)",-0.1,-4.76190476190477,2.1,2,"South"
"38","OR","Oregon","(44.56744942400047, -120.15503132599969)",0.4,6.66666666666667,6,6.4,"West"
"39","PA","Pennsylvania","(40.79373015200048, -77.86070029399963)",0,0,4.4,4.4,"Northeast"
"40","RI","Rhode Island","(41.70828019300046, -71.52247031399963)",0.3,7.89473684210526,3.8,4.1,"Northeast"
"41","SC","South Carolina","(33.998821303000454, -81.04537120699968)",0.5,23.8095238095238,2.1,2.6,"South"
"42","SD","South Dakota","(44.353130053000484, -100.3735306369997)",-0.5,-10,5,4.5,"Midwest"
"43","TN","Tennessee","(35.68094058000048, -85.77449091399967)",0,0,1.5,1.5,"South"
"44","TX","Texas","(31.827240407000488, -99.42677020599967)",-0.1,-5,2,1.9,"South"
"45","UT","Utah","(39.360700171000474, -111.58713063499971)",-0.2,-5.55555555555556,3.6,3.4,"West"
"46","VA","Virginia","(37.54268067400045, -78.45789046299967)",0,0,2.7,2.7,"South"
"47","VT","Vermont","(43.62538123900049, -72.51764079099962)",-0.2,-2.94117647058824,6.8,6.6,"Northeast"
"48","WA","Washington","(47.52227862900048, -120.47001078999972)",0.100000000000001,2.32558139534885,4.3,4.4,"West"
"49","WI","Wisconsin","(44.39319117400049, -89.81637074199966)",0,0,4.1,4.1,"Midwest"
"50","WV","West Virginia","(38.66551020200046, -80.71264013499967)",-0.1,-3.33333333333334,3,2.9,"South"
"51","WY","Wyoming","(43.23554134300048, -108.10983035299967)",-0.2,-4.08163265306123,4.9,4.7,"West"
