,YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,GeoLocation,YearRange
1,2006,2010,AL,Alabama,1.4,"(32.84057112200048, -86.63186076199969)",2006-2010
2,2011,2015,AL,Alabama,1.2,"(32.84057112200048, -86.63186076199969)",2011-2015
3,2006,2010,AK,Alaska,9.2,"(64.84507995700051, -147.72205903599973)",2006-2010
4,2011,2015,AK,Alaska,8.8,"(64.84507995700051, -147.72205903599973)",2011-2015
5,2006,2010,AZ,Arizona,3,"(34.865970280000454, -111.76381127699972)",2006-2010
6,2011,2015,AZ,Arizona,3,"(34.865970280000454, -111.76381127699972)",2011-2015
7,2006,2010,AR,Arkansas,1.9,"(34.74865012400045, -92.27449074299966)",2006-2010
8,2011,2015,AR,Arkansas,1.9,"(34.74865012400045, -92.27449074299966)",2011-2015
9,2006,2010,CA,California,3.7,"(37.63864012300047, -120.99999953799971)",2006-2010
10,2011,2015,CA,California,3.8,"(37.63864012300047, -120.99999953799971)",2011-2015
11,2006,2010,CO,Colorado,4.2,"(38.843840757000464, -106.13361092099967)",2006-2010
12,2011,2015,CO,Colorado,4.3,"(38.843840757000464, -106.13361092099967)",2011-2015
13,2006,2010,CT,Connecticut,3.3,"(41.56266102000046, -72.64984095199964)",2006-2010
14,2011,2015,CT,Connecticut,3.4,"(41.56266102000046, -72.64984095199964)",2011-2015
15,2006,2010,DE,Delaware,2.9,"(39.008830667000495, -75.57774116799965)",2006-2010
16,2011,2015,DE,Delaware,2.5,"(39.008830667000495, -75.57774116799965)",2011-2015
17,2006,2010,DC,District of Columbia,14.1,"(38.89037138500049, -77.03196112699965)",2006-2010
18,2011,2015,DC,District of Columbia,16.9,"(38.89037138500049, -77.03196112699965)",2011-2015
19,2006,2010,FL,Florida,2.2,"(28.932040377000476, -81.92896053899966)",2006-2010
20,2011,2015,FL,Florida,2.2,"(28.932040377000476, -81.92896053899966)",2011-2015
21,2006,2010,GA,Georgia,1.8,"(32.83968109300048, -83.62758034599966)",2006-2010
22,2011,2015,GA,Georgia,1.8,"(32.83968109300048, -83.62758034599966)",2011-2015
23,2006,2010,HI,Hawaii,5.5,"(21.304850435000446, -157.85774940299973)",2006-2010
24,2011,2015,HI,Hawaii,5.6,"(21.304850435000446, -157.85774940299973)",2011-2015
25,2006,2010,ID,Idaho,4.4,"(43.682630005000476, -114.3637300419997)",2006-2010
26,2011,2015,ID,Idaho,4,"(43.682630005000476, -114.3637300419997)",2011-2015
27,2006,2010,IL,Illinois,3.6,"(40.48501028300046, -88.99771017799969)",2006-2010
28,2011,2015,IL,Illinois,3.7,"(40.48501028300046, -88.99771017799969)",2011-2015
29,2006,2010,IN,Indiana,2.6,"(39.766910452000445, -86.14996019399968)",2006-2010
30,2011,2015,IN,Indiana,2.6,"(39.766910452000445, -86.14996019399968)",2011-2015
31,2006,2010,IA,Iowa,4.3,"(42.46940091300047, -93.81649055599968)",2006-2010
32,2011,2015,IA,Iowa,4.1,"(42.46940091300047, -93.81649055599968)",2011-2015
33,2006,2010,KS,Kansas,3,"(38.34774030000045, -98.20078122699965)",2006-2010
34,2011,2015,KS,Kansas,2.7,"(38.34774030000045, -98.20078122699965)",2011-2015
35,2006,2010,KY,Kentucky,2.4,"(37.645970271000465, -84.77497104799966)",2006-2010
36,2011,2015,KY,Kentucky,2.6,"(37.645970271000465, -84.77497104799966)",2011-2015
37,2006,2010,LA,Louisiana,2.3,"(31.31266064400046, -92.44568007099969)",2006-2010
38,2011,2015,LA,Louisiana,2.4,"(31.31266064400046, -92.44568007099969)",2011-2015
39,2006,2010,ME,Maine,4.5,"(45.254228894000505, -68.98503133599962)",2006-2010
40,2011,2015,ME,Maine,4.4,"(45.254228894000505, -68.98503133599962)",2011-2015
41,2006,2010,MD,Maryland,2.8,"(39.29058096400047, -76.60926011099963)",2006-2010
42,2011,2015,MD,Maryland,2.7,"(39.29058096400047, -76.60926011099963)",2011-2015
43,2006,2010,MA,Massachusetts,5.3,"(42.27687047000046, -72.08269067499964)",2006-2010
44,2011,2015,MA,Massachusetts,5.6,"(42.27687047000046, -72.08269067499964)",2011-2015
45,2006,2010,MI,Michigan,2.7,"(44.6613195430005, -84.71439026999968)",2006-2010
46,2011,2015,MI,Michigan,2.7,"(44.6613195430005, -84.71439026999968)",2011-2015
47,2006,2010,MN,Minnesota,3.7,"(46.35564873600049, -94.79420050299967)",2006-2010
48,2011,2015,MN,Minnesota,3.6,"(46.35564873600049, -94.79420050299967)",2011-2015
49,2006,2010,MS,Mississippi,1.9,"(32.745510099000455, -89.53803082499968)",2006-2010
50,2011,2015,MS,Mississippi,1.7,"(32.745510099000455, -89.53803082499968)",2011-2015
