state,change
Alabama,1
Alaska,1
Arkansas,0
Arizona,0
California,2
Colorado,2
Connecticut,2
Delaware,1
Florida,0
Georgia,0
Hawaii,2
Iowa,1
Idaho,1
Illinois,2
Indiana,0
Kansas,1
Kentucky,2
Louisiana,2
Maine,1
Maryland,1
Massachusetts,2
Michigan,0
Minnesota,1
Missouri,1
Mississippi,1
Montana,1
North Carolina,0
North Dakota,1
Nebraska,1
New Hampshire,1
New Jersey,1
New Mexico,0
Nevada,0
New York,2
Ohio,0
Oklahoma,1
Oregon,2
Pennsylvania,0
Rhode Island,2
South Carolina,2
South Dakota,1
Tennessee,0
Texas,1
Utah,1
Virginia,0
Vermont,1
Washington,2
Wisconsin,0
West Virginia,1
Wyoming,1
